line_start	selector	property_count	important_count	media_query
1967	ul.social-icons.is-flex.is-flex-wrap li a	3	0	
1973	#template-collection .banner__content	9	0	
1993	#template-collection .banner__heading	4	0	
2002	#template-collection .banner__content	2	0	@media (max-width: 798px)
2006	#template-collection .banner__heading	2	0	@media (max-width: 798px)
2012	section.gallery-intro	1	0	
2016	section.gallery-intro p	1	0	
2020	html body .collapsible-text-container	9	0	
2034	html body .collection__description	5	0	
2045	.collection__description-text	4	0	
2055	.collection__description-text::after	9	0	
2068	.collection__description-text.is-expanded	1	0	
2072	.collection__description-text.is-expanded::after	1	0	
2076	.collection__description-toggle	14	0	
2093	.collection__description-toggle:hover	1	0	
2099	.collapsible-text-container	2	0	@media (max-width: 798px)
2103	html body .collection__description	2	0	@media (max-width: 798px)
2109	.collection__series-info	6	0	
2119	.collection__series-info-item	3	0	
2125	.collection__series-info-item dt	6	0	
2134	.collection__series-info-item dd	4	0	
2141	.collection__series-description	7	0	
2151	.collection__series-description p	1	0	
2155	.collection__series-description p:last-child	1	0	
2161	.collection__series-info, .collection__series-description	4	0	@media (max-width: 798px)
2169	#template-collection section.section	4	0	
2181	#template-collection section.section	2	0	@media (max-width: 798px)
2186	#template-collection .collection__filters .select select, #template-collection .collection__tag-filter select, #template-collection .collection__sort-by-filter select	4	0	
2198	#template-collection .collection__filters .select, #template-collection .collection__tag-filter, #template-collection .collection__sort-by-filter	1	0	
2204	.collection-matrix	2	0	
2210	.container.collection-matrix .image-element__wrap	3	0	
2217	.collection-matrix .image-element__wrap[data-mockup-orientation] img	3	3	
2226	.collection-matrix	1	0	@media (max-width: 798px)
2230	.sidebar-block__heading	6	6	
2244	.faceted-filter-group-display__list-item-label-text, .faceted-filter-group-display__list-item-label	2	0	
2251	.faceted-filter-group-display__price-range-label	2	0	
2257	.faceted-filter-group-display__price-range-input	3	3	
2264	.faceted-filter-group-display__price-range	3	0	
2270	.faceted-filter-group-display__submit .button.button--primary	10	10	
2284	.faceted-filter-group-display__submit .button.button--primary:hover	3	3	
2290	.faceted-active-filters__remove-filter.button.button--primary	6	6	
2300	.sidebar__block.sidebar-toggle-active	2	0	
2306	#template-list-collections	2	0	
2317	#template-list-collections .button.button--secondary	1	0	
2321	#template-list-collections .image-element__wrap	3	0	
2327	#template-list-collections .list-collection__thumbnail	1	0	
2331	#template-product .product_section	3	0	
2350	#template-product .product_section	1	0	@media (min-width: 799px)
2353	#template-product .product__images.one-half	2	0	@media (min-width: 799px)
2358	#template-product .product__information.one-half	4	0	@media (min-width: 799px)
2380	#template-product .product-gallery__main	3	0	@media (min-width: 799px) and (max-width: 1024px)
2385	#template-product .product-gallery__main img	4	0	@media (min-width: 799px) and (max-width: 1024px)
2397	#template-product .product_section	3	0	@media (min-width: 1401px)
2403	.lc-edition-scarcity	9	0	
2416	.lc-edition-scarcity:empty	1	0	
2420	.lc-collector-discount	6	0	
2429	.product-block.product-block--size-chart	4	0	
2436	.product-block.product-block--price	1	0	
2440	.purchase-details	1	0	
2444	.product__social-share.has-padding-top	1	0	
2448	.product-block--description .product__description, .product-block--description .content	2	0	
2455	.swatch__options.custom-colour	4	0	
2463	.swatch__options.custom-colour .swatch__option	1	0	
2467	.swatch__options.custom-colour .swatch-element.color	4	0	
2474	.swatch__options.custom-colour .swatch-element.color label	7	0	
2484	.swatch__options.custom-colour .swatch-label-text	2	0	
2489	.lc-colour-row-hidden	1	0	
2494	#template-product .items_left	1	0	
2499	.product-gallery--media-amount-1 .product-gallery__main	1	0	
2507	.product-block.product-block--size-chart .product__size-chart	4	0	
2515	.product-block.product-block--size-chart .product__size-chart::after	9	0	
2527	.product-block.product-block--size-chart .product__size-chart:hover	1	0	
2531	.product-block.product-block--size-chart .product__size-chart:hover::after, .product-block.product-block--size-chart .product__size-chart:active::after	1	0	
2536	.product-block--share	4	0	
2544	.social-share-buttons	4	0	
2551	.social-share-buttons .share-btn	1	0	
2555	.social-share-buttons .share-btn a.button	12	0	
2573	.social-share-buttons .share-btn a.button:hover	1	0	
2577	.social-share-buttons .share-btn--x a.button	1	0	
2579	.social-share-buttons .share-btn--x a.button:hover	2	0	
2580	.social-share-buttons .share-btn--facebook a.button	1	0	
2582	.social-share-buttons .share-btn--facebook a.button:hover	2	0	
2583	.social-share-buttons .share-btn--pinterest a.button	1	0	
2585	.social-share-buttons .share-btn--pinterest a.button:hover	2	0	
2586	.social-share-buttons .share-btn--mail a.button	1	0	
2588	.social-share-buttons .share-btn--mail a.button:hover	2	0	
2589	.accordion	3	0	
2597	.accordion dt	7	0	
2607	.accordion dt a	6	0	
2616	.accordion dt small	1	0	
2620	.accordion dd	7	0	
2630	.accordion dd.active	1	0	
2634	.featured-collection .product-image__wrapper	2	0	
2640	.featured-collection .product-image__wrapper img	2	0	
2647	#template-product .product_section	5	0	@media (max-width: 798px)
2665	.breadcrumb__wrapper	5	0	@media (max-width: 480px)
2673	#template-blog .banner__content, #template-article .banner__content	7	0	
2694	.breadcrumb__wrapper	1	0	@media (max-width: 798px)
2697	#template-blog .banner__content, #template-article .banner__content	2	0	@media (max-width: 798px)
2703	#template-blog .banner__heading, #template-article .banner__heading	2	0	@media (max-width: 798px)
2710	#template-blog .image-element__wrap	4	0	
2718	.blog-card__read-more.buttons	1	0	
2730	.blog-main	1	1	@media (max-width: 798px)
2740	#template-blog .blog-card	2	1	@media (max-width: 480px)
2751	#template-blog .blog-card	1	1	@media (min-width: 799px) and (max-width: 1024px)
2755	.image-container	5	0	
2764	.image-item	4	0	
2771	.image-item img	7	0	
2781	.image-item p	6	0	
2790	.kandos-gallery	4	0	
2797	.kandos-gallery .image-item img	3	0	
2805	.image-container	1	0	@media (max-width: 1024px)
2806	.image-item	1	0	@media (max-width: 1024px)
2810	.image-container	2	0	@media (max-width: 798px)
2814	.image-item	1	0	@media (max-width: 798px)
2816	.image-item img	1	0	@media (max-width: 798px)
2829	.section--art-story .image-element__wrap img, .section--about-brett .image-element__wrap img	6	0	@supports (animation-timeline: view())
2838	@keyframes lc-parallax	2	0	@supports (animation-timeline: view())
2844	.collection-thumbnail-overlay	2	0	
2859	.collection-info__caption-wrapper	2	0	
2865	.product-wrap:hover .collection-thumbnail-overlay	1	0	
2870	.product-wrap:hover .collection-info__caption-wrapper	1	0	
2874	.collection-info__caption .title, .collection-info__caption-wrapper .title	1	0	
2880	.collection-info__caption .button	3	0	
2886	.collection-info__caption .button:hover	3	0	
2892	html body .fixed-message__container	4	0	
2909	.fixed-message__container	2	0	@supports (backdrop-filter: blur(10px))
2914	html body .fixed-message__text p, html body .fixed-message__text	4	0	
2922	html body .fixed-message__text a	3	0	
2929	html body .fixed-message__button .button, html body .fixed-message__button .age-gate__confirm_btn	13	0	
2950	html body .fixed-message__button .button:hover, html body .fixed-message__button .age-gate__confirm_btn:hover	4	0	
2960	.fixed-message__container .container	2	0	@media (max-width: 798px)
2965	.search__lightbox .fancybox-bg	2	0	
2980	.search__lightbox .fancybox-slide--html .fancybox-content	6	0	
2990	html body .search-popup	7	0	
3003	.search-popup	2	0	@supports (backdrop-filter: blur(14px))
3008	html body .search-popup .search-overlay__wrapper	1	0	
3013	html body .search-popup__title	7	0	
3024	html body .search-popup .input	5	0	
3033	html body .search-popup .input:focus	4	0	
3040	html body .search-popup button[name="search"]	4	0	
3048	html body .search-popup .icon.is-left, html body .search-popup .icon.is-left svg, html body .search-popup button[name="search"] svg	3	0	
3056	html body .search-popup button[name="search"]:hover .icon.is-left, html body .search-popup button[name="search"]:hover svg	1	0	
3061	html body .search-popup .search-menu__heading	6	0	
3071	html body .search-popup .search-menu__item a	6	0	
3081	html body .search-popup .search-menu__item a:hover	1	0	
3085	html body .search-popup .search__results-wrapper, html body .search-popup .search__results	3	0	
3093	html body .search-popup .search__results__item .description__title, html body .search-popup .search__results__item .item-pricing	1	0	
3101	.search__lightbox .fancybox-slide--html .fancybox-content	1	0	@media (max-width: 798px)
3104	.search-popup	2	0	@media (max-width: 798px)
3109	.search-popup__title	1	0	@media (max-width: 798px)
3122	#theme-ajax-cart.is-drawer	3	0	@media only screen and (min-width: 799px)
3127	#theme-ajax-cart.is-drawer.is-visible	3	0	@media only screen and (min-width: 799px)
3133	.ajax-cart__shipping-progress	3	0	
3140	.ajax-cart__shipping-bar-track	5	0	
3148	.ajax-cart__shipping-bar-fill	4	0	
3155	.ajax-cart__shipping-message	6	0	
3164	.ajax-cart__shipping-message .money	2	0	
3169	.ajax-cart__shipping-progress--achieved .ajax-cart__shipping-message--achieved	9	0	
3181	.ajax-cart__shipping-progress--achieved .ajax-cart__shipping-message--achieved .icon svg	4	0	
3188	.ajax-cart__trust-bar	7	0	
3203	.ajax-cart__trust-item	6	0	
3212	.ajax-cart__trust-item .icon svg	4	0	
3219	.ajax-cart__trust-item span	5	0	
3227	.product__art-details	4	0	
3239	.product__art-details-list	5	0	
3247	.product__art-detail	3	0	
3253	.product__art-detail dt	6	0	
3263	.product__art-detail dd	4	0	
3270	.product__art-detail--cert dd	2	0	
3275	.product__art-description	6	0	
3284	.product__sticky-atc	1	0	
3295	.product__sticky-atc	13	0	@media (max-width: 798px)
3310	.product__sticky-atc.is-visible	2	0	@media (max-width: 798px)
3315	.product__sticky-atc-inner	6	0	@media (max-width: 798px)
3324	.product__sticky-atc-info	6	0	@media (max-width: 798px)
3333	.product__sticky-atc-title	6	0	@media (max-width: 798px)
3342	.product__sticky-atc-price	4	0	@media (max-width: 798px)
3349	.product__sticky-atc-btn	13	0	@media (max-width: 798px)
3365	.product__sticky-atc-btn:hover	3	0	@media (max-width: 798px)
3383	.mobile-menu .mobile-menu-link, .mobile-menu .mobile-menu__item, .mobile-menu .submenu__label, .mobile-menu .mobile-menu a	5	0	@media (max-width: 798px)
3393	.mobile-menu .close-dropdown, .mobile-menu .close-sub-dropdown	4	0	@media (max-width: 798px)
3409	.footer__menu-link a	4	0	@media (max-width: 798px)
3416	.footer__block.block__text ul.social-icons li a	4	0	@media (max-width: 798px)
3424	.mobile-icons .action-area__link, .mobile-icons .header__link	5	0	@media (max-width: 798px)
3441	input, textarea, select, .input, .textarea	1	0	@media (max-width: 798px)
3454	body.product	1	0	@media (max-width: 798px)
3458	.product-gallery__thumbnails .product-gallery__thumbnail	1	0	
3471	.product__back-link	7	0	
3482	.product__back-link:hover	1	0	
3486	.product__price-range	4	0	
3494	.product__story-link	7	0	
3505	.product__story-link:hover	1	0	
3509	.blog-cta	10	0	
3527	.blog-cta__eyebrow	7	0	
3537	.blog-cta__link.button	2	0	
3544	.blog-cta	2	0	@media (max-width: 798px)
3552	.swatch__options[data-count="4"], .swatch__options[data-count="5"], .swatch__options[data-count="6"]	1	0	@media (min-width: 799px) and (max-width: 1024px)
3558	.product__form	1	0	@media (min-width: 799px) and (max-width: 1024px)
3565	.swatch__options[data-count="4"], .swatch__options[data-count="5"], .swatch__options[data-count="6"]	1	0	@media (min-width: 1025px) and (max-width: 1279px)
3571	.product__form	1	0	@media (min-width: 1025px) and (max-width: 1279px)
3580	.product__form	1	0	@media (min-width: 1280px)
